draw_id,date,num1,num2,num3,num4,num5,num6,num7
290,2018/11/9,3,13,22,26,31,32,37
291,2018/11/16,1,11,18,19,21,29,37
292,2018/11/23,12,15,25,26,27,29,35
293,2018/11/30,11,13,15,20,27,29,35
294,2018/12/7,3,4,6,10,14,22,29
295,2018/12/14,4,5,6,8,9,22,32
296,2018/12/21,1,8,10,12,18,28,29
297,2018/12/28,2,3,11,16,23,28,36
298,2019/1/4,1,3,8,11,18,19,22
299,2019/1/11,1,6,10,13,16,26,36
300,2019/1/18,4,7,21,31,33,34,35
301,2019/1/25,4,11,12,25,27,30,33
302,2019/2/1,8,16,26,27,28,32,34
303,2019/2/8,4,7,14,17,21,34,37
304,2019/2/15,7,9,10,17,28,33,36
305,2019/2/22,6,17,23,24,27,28,31
306,2019/3/1,12,13,15,22,25,33,35
307,2019/3/8,5,8,15,24,25,32,35
308,2019/3/15,5,6,11,15,20,32,33
309,2019/3/22,1,7,13,14,16,21,22
310,2019/3/29,17,25,26,28,31,32,37
311,2019/4/5,9,11,18,24,26,27,37
312,2019/4/12,1,2,4,18,20,29,34
313,2019/4/19,9,13,16,23,28,29,30
314,2019/4/26,3,6,8,19,32,34,35
315,2019/5/3,3,11,18,26,30,33,37
316,2019/5/10,3,9,10,17,30,33,34
317,2019/5/17,7,8,14,15,16,20,29
318,2019/5/24,4,5,10,12,27,34,36
319,2019/5/31,2,6,14,23,28,31,35
320,2019/6/7,5,6,18,22,26,33,34
321,2019/6/14,15,24,27,28,29,34,35
322,2019/6/21,1,10,11,21,26,29,30
323,2019/6/28,11,14,15,21,26,34,36
324,2019/7/5,9,13,16,17,18,19,20
325,2019/7/12,4,14,17,18,21,31,33
326,2019/7/19,1,2,17,18,24,27,29
327,2019/7/26,1,3,13,14,16,30,31
328,2019/8/2,3,9,10,14,19,24,30
329,2019/8/9,3,10,19,20,26,28,30
330,2019/8/16,3,4,10,12,17,18,20
331,2019/8/23,5,7,11,12,15,18,20
332,2019/8/30,5,7,10,15,24,27,30
333,2019/9/6,1,4,10,11,16,24,34
334,2019/9/13,3,7,15,16,30,34,35
335,2019/9/20,9,10,17,18,22,25,35
336,2019/9/27,9,10,13,21,25,31,33
337,2019/10/4,5,7,10,12,14,24,35
338,2019/10/11,7,9,16,17,23,27,34
339,2019/10/18,11,15,18,20,23,25,32
340,2019/10/25,6,14,17,26,27,30,36
341,2019/11/1,4,11,17,27,29,31,36
342,2019/11/8,3,6,24,28,32,35,36
343,2019/11/15,17,19,22,29,30,31,32
344,2019/11/22,11,19,28,29,31,32,37
345,2019/11/29,6,9,10,18,28,31,32
346,2019/12/6,11,16,18,23,30,31,35
347,2019/12/13,3,6,11,13,18,20,34
348,2019/12/20,2,5,17,18,19,20,33
349,2019/12/27,4,10,11,15,18,22,34
350,2020/1/10,10,19,21,23,24,30,37
351,2020/1/17,8,13,17,19,23,25,28
352,2020/1/24,3,4,14,18,26,30,32
353,2020/1/31,11,15,22,23,24,29,33
354,2020/2/7,1,2,8,10,13,25,31
355,2020/2/14,4,6,9,10,23,27,33
356,2020/2/21,4,16,20,30,33,34,36
357,2020/2/28,5,8,12,13,14,24,30
358,2020/3/6,5,13,14,26,32,33,34
359,2020/3/13,4,7,11,17,19,26,35
360,2020/3/20,9,11,13,14,20,22,37
361,2020/3/27,5,9,16,20,29,33,35
362,2020/4/3,4,7,8,14,22,24,27
363,2020/4/10,13,15,17,22,26,34,36
364,2020/4/17,3,9,10,14,16,20,27
365,2020/4/24,1,4,13,14,16,22,35
366,2020/5/1,10,24,25,26,27,33,36
367,2020/5/8,8,14,19,20,29,30,31
368,2020/5/15,7,8,9,13,21,34,35
369,2020/5/22,1,7,9,11,15,31,34
370,2020/5/29,7,10,16,25,26,33,34
371,2020/6/5,1,3,4,8,11,21,25
372,2020/6/12,6,8,22,23,32,33,36
373,2020/6/19,2,3,17,18,22,23,31
374,2020/6/26,4,5,9,10,18,27,35
375,2020/7/3,13,15,18,19,23,27,32
376,2020/7/10,6,11,14,17,23,31,37
377,2020/7/17,6,7,10,17,25,33,36
378,2020/7/24,1,5,9,10,14,15,29
379,2020/7/31,3,8,15,22,24,29,35
380,2020/8/7,8,14,24,25,32,34,36
381,2020/8/14,4,8,25,26,27,31,32
382,2020/8/21,2,3,5,8,19,22,37
383,2020/8/28,8,11,15,22,26,28,30
384,2020/9/4,3,7,15,18,26,30,31
385,2020/9/11,4,12,14,24,29,34,35
386,2020/9/18,9,19,22,32,35,36,37
387,2020/9/25,3,7,13,22,30,32,37
388,2020/10/2,1,6,8,10,18,21,32
389,2020/10/9,1,6,11,13,18,24,27
390,2020/10/16,3,6,19,21,23,26,27
391,2020/10/23,10,23,27,32,33,35,37
392,2020/10/30,1,4,6,15,20,22,26
393,2020/11/6,7,14,15,22,27,30,31
394,2020/11/13,6,10,22,23,27,32,33
395,2020/11/20,1,2,5,20,26,29,32
396,2020/11/27,2,3,5,8,16,20,34
397,2020/12/4,4,12,13,15,21,28,37
398,2020/12/11,3,4,10,17,20,22,33
399,2020/12/18,7,15,19,20,21,33,36
400,2020/12/25,4,17,22,28,30,31,35
401,2021/1/8,4,5,9,14,18,30,35
402,2021/1/15,7,9,12,17,20,26,29
403,2021/1/22,2,6,8,12,19,20,29
404,2021/1/29,4,8,13,16,25,30,32
405,2021/2/5,3,10,16,17,24,32,36
406,2021/2/12,1,2,5,16,18,21,29
407,2021/2/19,19,21,25,26,28,30,31
408,2021/2/26,16,18,19,21,29,30,35
409,2021/3/5,13,15,16,24,30,31,37
410,2021/3/12,1,2,18,21,26,29,37
411,2021/3/19,4,11,12,21,23,27,36
412,2021/3/26,14,20,22,29,31,33,34
413,2021/4/2,3,10,16,18,19,34,35
414,2021/4/9,3,8,16,21,25,36,37
415,2021/4/16,4,8,12,13,23,32,37
416,2021/4/23,8,9,10,15,16,30,31
417,2021/4/30,4,5,13,18,23,27,32
418,2021/5/7,10,13,17,18,22,28,37
419,2021/5/14,3,11,14,21,26,29,34
420,2021/5/21,4,5,11,13,24,32,34
421,2021/5/28,9,15,18,26,28,32,37
422,2021/6/4,1,9,21,23,30,35,36
423,2021/6/11,1,7,9,11,29,31,32
424,2021/6/18,5,6,12,19,25,30,35
425,2021/6/25,2,9,14,20,22,34,35
426,2021/7/2,1,2,6,8,30,31,33
427,2021/7/9,11,13,26,27,31,33,37
428,2021/7/16,3,6,16,22,31,34,35
429,2021/7/23,6,11,14,27,30,32,35
430,2021/7/30,2,12,17,24,28,30,32
431,2021/8/6,7,11,12,17,19,20,26
432,2021/8/13,5,10,13,24,29,30,35
433,2021/8/20,14,17,20,25,32,33,36
434,2021/8/27,10,11,12,17,29,34,37
435,2021/9/3,3,5,7,11,15,17,25
436,2021/9/10,5,6,21,22,26,31,32
437,2021/9/17,8,10,14,15,23,25,26
438,2021/9/24,4,13,16,21,32,34,37
439,2021/10/1,1,3,6,9,26,29,31
440,2021/10/8,5,10,17,18,19,22,32
441,2021/10/15,15,21,22,23,27,28,37
442,2021/10/22,6,13,14,16,19,30,32
443,2021/10/29,1,5,8,26,28,32,36
444,2021/11/5,11,15,16,17,18,27,29
445,2021/11/12,4,22,25,27,28,30,33
446,2021/11/19,1,7,9,12,15,29,32
447,2021/11/26,3,5,8,13,26,30,37
448,2021/12/3,7,21,24,29,32,36,37
449,2021/12/10,2,21,26,27,32,33,34
450,2021/12/17,2,7,12,15,21,23,30
451,2021/12/24,2,15,22,25,28,33,37
452,2022/1/7,5,17,20,21,31,34,35
453,2022/1/14,2,8,10,21,24,26,35
454,2022/1/21,8,17,21,26,27,29,31
455,2022/1/28,1,5,8,15,18,26,36
456,2022/2/4,9,15,17,18,22,25,31
457,2022/2/11,7,14,19,27,31,35,36
458,2022/2/18,7,11,12,14,19,21,33
459,2022/2/25,2,4,7,8,10,20,29
460,2022/3/4,5,6,9,23,27,28,30
461,2022/3/11,2,13,19,22,32,35,37
462,2022/3/18,7,11,24,27,29,34,35
463,2022/3/25,3,7,13,16,19,24,30
464,2022/4/1,7,8,13,17,30,32,36
465,2022/4/8,1,4,5,13,27,31,35
466,2022/4/15,5,6,8,14,15,25,29
467,2022/4/22,7,8,11,13,14,26,30
468,2022/4/29,3,12,15,16,25,29,37
469,2022/5/6,1,6,8,13,16,30,33
470,2022/5/13,2,3,9,16,27,32,36
471,2022/5/20,3,5,7,8,11,19,34
472,2022/5/27,5,7,8,32,33,34,36
473,2022/6/3,6,11,21,24,28,33,37
474,2022/6/10,3,17,19,21,24,32,34
475,2022/6/17,1,2,22,24,26,31,37
476,2022/6/24,4,7,9,15,22,24,31
477,2022/7/1,2,5,9,19,25,32,37
478,2022/7/8,6,8,11,13,16,20,32
479,2022/7/15,8,11,13,18,24,30,31
480,2022/7/22,10,13,19,21,26,30,36
481,2022/7/29,1,10,13,14,16,25,27
482,2022/8/5,2,5,14,15,17,19,36
483,2022/8/12,2,11,20,23,25,36,37
484,2022/8/19,1,4,6,9,13,22,31
485,2022/8/26,4,6,17,20,22,24,26
486,2022/9/2,8,13,15,23,24,31,35
487,2022/9/9,9,10,13,15,26,34,37
488,2022/9/16,3,13,16,18,19,20,35
489,2022/9/23,3,6,7,15,25,29,31
490,2022/9/30,12,14,18,21,23,29,37
491,2022/10/7,3,14,17,21,22,32,35
492,2022/10/14,7,10,12,15,23,31,37
493,2022/10/21,5,13,14,20,21,25,31
494,2022/10/28,7,9,12,22,28,29,32
495,2022/11/4,2,16,19,20,22,33,36
496,2022/11/11,5,8,15,18,25,27,36
497,2022/11/18,18,20,24,26,27,30,33
498,2022/11/25,6,8,12,20,21,24,29
499,2022/12/2,5,9,14,18,27,32,34
500,2022/12/9,17,18,24,30,31,32,35
501,2022/12/16,1,2,4,7,12,14,31
502,2022/12/23,1,2,12,17,21,22,33
503,2022/12/30,5,7,8,13,23,26,33
504,2023/1/6,1,3,4,5,6,29,31
505,2023/1/13,9,10,12,15,16,28,36
506,2023/1/20,8,14,19,22,29,31,37
507,2023/1/27,4,19,25,26,30,32,36
508,2023/2/3,1,5,6,9,16,26,31
509,2023/2/10,10,14,22,26,27,32,33
510,2023/2/17,3,5,9,11,17,33,37
511,2023/2/24,1,9,14,24,28,36,37
512,2023/3/3,5,7,17,22,25,26,28
513,2023/3/10,1,4,10,13,15,19,37
514,2023/3/17,1,5,10,17,20,27,37
515,2023/3/24,3,15,17,22,26,27,28
516,2023/3/31,7,12,15,16,18,25,36
517,2023/4/7,3,6,10,16,26,29,31
518,2023/4/14,5,8,11,24,30,32,36
519,2023/4/21,1,2,8,14,17,21,34
520,2023/4/28,9,22,25,28,33,34,37
521,2023/5/5,21,24,25,27,30,33,36
522,2023/5/12,1,10,12,19,22,25,37
523,2023/5/19,3,17,19,27,28,32,35
524,2023/5/26,4,17,22,27,29,31,34
525,2023/6/2,11,14,17,18,21,25,31
526,2023/6/9,4,13,17,19,20,26,29
527,2023/6/16,4,8,12,25,27,32,34
528,2023/6/23,5,7,10,19,30,32,33
529,2023/6/30,7,9,13,14,22,26,29
530,2023/7/7,1,11,13,28,29,30,34
531,2023/7/14,4,6,9,11,14,28,30
532,2023/7/21,4,9,13,18,26,28,36
533,2023/7/28,2,4,9,11,14,25,37
534,2023/8/4,10,17,18,19,20,24,25
535,2023/8/11,5,11,12,19,29,32,36
536,2023/8/18,8,12,16,17,22,28,34
537,2023/8/25,2,3,9,13,14,35,37
538,2023/9/1,1,2,11,12,16,25,28
539,2023/9/8,4,6,8,18,20,27,35
540,2023/9/15,3,7,10,18,19,28,36
541,2023/9/22,6,14,23,25,27,28,34
542,2023/9/29,2,9,26,31,33,35,36
543,2023/10/6,2,11,13,18,23,24,36
544,2023/10/13,10,11,18,21,22,29,34
545,2023/10/20,3,12,16,17,27,30,34
546,2023/10/27,7,14,17,28,33,35,36
547,2023/11/3,4,11,14,18,23,25,29
548,2023/11/10,1,13,16,17,18,25,30
549,2023/11/17,13,19,20,28,33,34,35
550,2023/11/24,7,8,13,22,24,29,30
551,2023/12/1,15,16,17,22,29,32,37
552,2023/12/8,7,11,12,16,18,33,34
553,2023/12/15,2,6,13,15,16,20,33
554,2023/12/22,4,10,15,17,29,32,36
555,2023/12/29,9,12,17,19,26,32,34
556,2024/1/5,17,20,26,28,29,33,35
557,2024/1/12,3,5,7,10,17,18,35
558,2024/1/19,15,20,21,22,23,26,34
559,2024/1/26,3,4,10,13,15,18,22
560,2024/2/2,3,20,29,32,33,34,35
561,2024/2/9,6,8,19,20,27,32,37
562,2024/2/16,2,14,15,20,28,30,34
563,2024/2/23,1,4,6,14,16,19,31
564,2024/3/1,9,13,15,18,22,24,30
565,2024/3/8,3,6,9,11,19,30,36
566,2024/3/15,3,5,18,25,28,35,37
567,2024/3/22,6,8,16,18,19,34,37
568,2024/3/29,8,18,20,29,30,33,34
569,2024/4/5,12,15,17,22,30,34,35
570,2024/4/12,1,3,9,12,25,26,35
571,2024/4/19,13,26,27,29,30,34,37
572,2024/4/26,1,2,4,19,21,26,28
573,2024/5/3,11,12,18,19,23,26,31
574,2024/5/10,4,5,13,16,22,23,35
575,2024/5/17,2,12,18,20,25,28,30
576,2024/5/24,11,13,14,18,19,23,31
577,2024/5/31,11,13,19,25,29,36,37
578,2024/6/7,2,15,19,20,22,31,36
579,2024/6/14,7,19,23,33,34,35,36
580,2024/6/21,4,13,14,15,17,27,33
581,2024/6/28,3,8,10,15,18,23,37
582,2024/7/5,5,7,22,29,30,32,36
583,2024/7/12,1,5,8,9,20,30,37
584,2024/7/19,10,11,12,17,23,30,36
585,2024/7/26,6,11,13,14,16,27,34
586,2024/8/2,1,2,4,14,15,22,23
587,2024/8/9,15,18,21,22,23,25,32
588,2024/8/16,3,5,9,13,15,21,31
589,2024/8/23,1,6,8,9,14,29,33
590,2024/8/30,1,3,9,10,15,25,35
591,2024/9/6,4,7,8,11,21,23,35
592,2024/9/13,3,8,11,15,19,24,32
593,2024/9/20,3,8,9,14,15,22,32
594,2024/9/27,5,12,21,25,27,34,36
595,2024/10/4,14,15,16,19,25,28,33
596,2024/10/11,1,9,16,19,23,29,32
597,2024/10/18,2,4,14,15,22,27,34
598,2024/10/25,1,4,7,11,12,18,26
