draw_id,date,num1,num2,num3,num4,num5
59,2000/8/15,9,15,20,21,22
60,2000/8/22,16,17,22,23,26
61,2000/8/29,9,23,24,29,30
62,2000/9/5,5,10,13,17,29
63,2000/9/12,3,5,6,22,28
64,2000/9/19,5,10,11,12,23
65,2000/9/26,8,9,10,17,23
66,2000/10/3,5,6,12,17,20
67,2000/10/10,4,5,8,14,27
68,2000/10/17,5,6,21,22,24
69,2000/10/24,5,6,9,23,30
70,2000/10/31,1,5,7,17,21
71,2000/11/7,11,17,18,22,30
72,2000/11/14,8,10,24,28,30
73,2000/11/21,4,6,8,26,30
74,2000/11/28,4,6,16,22,28
75,2000/12/5,7,14,16,17,29
76,2000/12/12,6,11,13,16,23
77,2000/12/19,2,3,10,22,26
78,2000/12/26,4,11,19,20,22
79,2001/1/9,2,13,16,26,30
80,2001/1/16,7,10,13,18,22
81,2001/1/23,1,7,10,16,25
82,2001/1/30,1,3,11,27,30
83,2001/2/6,1,6,11,23,26
84,2001/2/13,1,15,29,30,31
85,2001/2/20,9,11,14,20,29
86,2001/2/27,2,8,13,20,24
87,2001/3/6,1,5,12,23,27
88,2001/3/13,4,19,26,27,30
89,2001/3/20,5,7,24,27,29
90,2001/3/27,6,12,14,21,27
91,2001/4/3,8,9,15,18,22
92,2001/4/10,2,3,11,22,30
93,2001/4/17,11,15,22,26,27
94,2001/4/24,16,19,20,26,29
95,2001/5/1,4,5,7,8,31
96,2001/5/8,1,5,6,14,27
97,2001/5/15,6,12,15,19,22
98,2001/5/22,1,2,9,11,20
99,2001/5/29,3,7,10,13,15
100,2001/6/5,11,12,19,20,31
101,2001/6/12,2,10,11,13,26
102,2001/6/19,5,10,11,25,28
103,2001/6/26,10,13,19,21,30
104,2001/7/3,3,4,7,21,30
105,2001/7/10,6,11,14,21,27
106,2001/7/17,3,5,11,12,18
107,2001/7/24,4,8,12,26,27
108,2001/7/31,6,10,20,27,29
109,2001/8/7,3,5,15,19,22
110,2001/8/14,3,7,13,22,27
111,2001/8/21,10,19,24,27,31
112,2001/8/28,5,7,15,26,27
113,2001/9/4,1,2,6,16,28
114,2001/9/11,3,5,6,7,11
115,2001/9/18,10,15,29,30,31
116,2001/9/25,2,7,13,18,23
117,2001/10/2,5,11,12,23,24
118,2001/10/9,2,4,12,20,23
119,2001/10/16,12,14,25,29,30
120,2001/10/23,8,12,14,18,27
121,2001/10/30,5,17,18,24,30
122,2001/11/6,1,8,23,27,28
123,2001/11/13,1,5,6,13,15
124,2001/11/20,5,7,17,19,27
125,2001/11/27,2,21,22,27,29
126,2001/12/4,7,16,18,22,25
127,2001/12/11,8,9,18,29,31
128,2001/12/18,3,6,22,24,27
129,2001/12/25,2,13,20,25,30
130,2002/1/8,3,4,11,17,26
131,2002/1/15,1,9,12,18,21
132,2002/1/22,7,13,17,19,24
133,2002/1/29,4,7,11,18,31
134,2002/2/5,4,5,13,16,18
135,2002/2/12,4,7,8,9,24
136,2002/2/19,5,11,14,18,28
137,2002/2/26,3,15,20,25,28
138,2002/3/5,1,4,21,30,31
139,2002/3/12,14,17,20,26,28
140,2002/3/19,8,9,17,20,29
141,2002/3/26,4,6,9,20,24
142,2002/4/2,10,11,24,25,30
143,2002/4/9,17,18,20,23,26
144,2002/4/16,4,13,14,19,28
145,2002/4/23,13,14,19,24,28
146,2002/4/30,1,6,11,12,18
147,2002/5/7,5,10,21,27,28
148,2002/5/14,2,7,19,26,31
149,2002/5/21,5,6,17,27,28
150,2002/5/28,2,11,16,24,26
151,2002/6/4,4,10,13,14,19
152,2002/6/11,1,2,11,22,30
153,2002/6/18,2,3,8,23,29
154,2002/6/25,2,10,16,19,22
155,2002/7/2,9,10,16,21,23
156,2002/7/9,2,3,13,19,31
157,2002/7/16,1,5,14,18,20
158,2002/7/23,3,14,16,20,31
159,2002/7/30,7,11,16,23,24
160,2002/8/6,4,23,24,30,31
161,2002/8/13,2,3,4,17,19
162,2002/8/20,6,14,17,23,31
163,2002/8/27,1,12,13,16,28
164,2002/9/3,7,9,16,26,30
165,2002/9/10,9,16,24,25,26
166,2002/9/17,8,13,21,24,28
167,2002/9/24,11,19,20,25,26
168,2002/10/1,2,8,11,16,30
169,2002/10/8,8,15,18,25,31
